fid,Arbolado y Vegetación,Limpieza Viaria,Contaminación Sonora,Señaización       H y V,Sendas Peatonales,Obras en Construcción,Presencia de Obstáculos,Distancias Paradas TP,Actividad Comercial,Área Movilidad Motorizada,Ancho Vereda Útil,Estado de Vereda,Mobiliario Urbano,Pendientes,Movilidad Reducida,Estado Rampas,Guía no Videntes,IC,Tipo
537,1,4,1,3,2,1,1,4,4,2,4,3,2,1,2,1,1,"54,4117647058823",impar
541,2,1,1,4,4,2,1,4,4,2,1,3,3,1,2,1,1,"54,4117647058823",impar
542,1,4,1,3,4,4,4,4,4,2,4,4,3,1,3,3,1,"73,5294117647059",impar
543,1,2,1,1,2,4,1,4,4,2,4,3,3,1,2,1,1,"54,4117647058823",impar
546,1,4,1,1,2,4,4,4,0,2,4,3,3,1,2,4,1,"60,2941176470588",impar
547,1,4,1,3,2,4,1,4,4,2,4,3,2,4,2,1,1,"63,2352941176471",impar
552,1,4,1,3,4,4,1,4,0,2,1,3,2,1,3,1,1,"52,9411764705882",impar
553,1,4,1,3,4,4,4,4,4,2,4,3,3,1,2,1,1,"67,6470588235294",impar
554,1,4,1,4,4,4,4,4,4,2,4,3,2,1,2,1,1,"67,6470588235294",impar
555,1,1,1,1,2,4,1,4,4,2,4,3,3,2,2,1,1,"54,4117647058823",impar
558,1,4,1,3,2,4,4,4,4,2,4,4,4,1,2,1,1,"67,6470588235294",impar
563,2,2,1,1,2,4,1,4,4,2,4,3,3,1,2,1,1,"55,8823529411765",impar
566,3,3,1,3,2,4,1,4,4,2,1,3,3,1,2,1,1,"57,3529411764706",impar
567,1,3,1,3,4,4,1,4,4,2,4,3,3,1,3,1,1,"63,2352941176471",impar
568,1,4,1,1,4,4,4,4,4,2,4,3,2,1,2,1,1,"63,2352941176471",impar
569,1,4,1,1,2,4,4,4,4,2,4,3,2,1,2,1,1,"60,2941176470588",impar
570,3,4,1,3,1,4,1,4,4,2,4,3,3,1,2,1,1,"61,7647058823529",impar
572,1,4,1,1,2,4,4,4,0,2,1,4,2,3,2,1,1,"54,4117647058823",impar
573,1,3,1,1,2,4,1,4,4,2,4,3,1,1,2,1,1,"52,9411764705882",impar
579,1,3,1,1,1,4,4,4,4,2,4,3,2,1,2,1,1,"57,3529411764706",impar
582,3,3,1,4,4,4,4,4,4,2,4,4,4,1,2,1,1,"73,5294117647059",impar
586,1,3,1,3,2,4,4,4,0,2,4,1,3,1,2,1,1,"54,4117647058823",impar
588,2,3,1,1,2,4,4,4,4,2,1,4,4,1,2,1,1,"60,2941176470588",impar
590,1,4,1,3,4,4,4,4,4,2,4,3,2,2,3,1,1,"69,1176470588235",impar
591,1,3,1,3,4,4,4,4,4,2,4,4,2,1,2,4,1,"70,5882352941177",impar
592,1,4,1,1,1,4,4,4,4,2,4,3,2,1,2,1,4,"63,2352941176471",impar
594,1,2,1,3,4,4,1,4,4,2,4,3,3,1,2,1,1,"60,2941176470588",impar
595,1,3,1,3,2,4,1,4,4,2,4,3,3,1,3,1,1,"60,2941176470588",impar
597,2,2,1,3,4,4,4,4,4,2,2,3,3,1,2,1,1,"63,2352941176471",impar
598,1,2,1,1,4,4,4,4,4,2,4,3,2,4,2,1,1,"64,7058823529412",impar
600,1,3,1,1,2,4,4,4,4,2,4,3,3,4,3,2,1,"67,6470588235294",impar
603,1,4,1,1,4,4,4,4,0,2,4,3,3,1,2,1,1,"58,8235294117647",impar
604,1,1,1,3,4,4,4,4,4,2,1,3,3,2,2,1,1,"60,2941176470588",impar
605,1,4,1,1,2,4,4,4,4,2,4,4,3,1,2,1,1,"63,2352941176471",impar
607,2,2,1,4,4,4,1,4,4,2,2,3,2,1,2,1,1,"58,8235294117647",impar
608,1,2,1,1,2,4,1,4,4,2,4,1,3,1,3,2,1,"54,4117647058823",impar
609,1,4,1,3,1,4,4,4,0,2,4,3,3,1,2,3,1,"60,2941176470588",impar
610,1,3,1,4,1,4,1,4,4,2,4,1,1,1,2,1,1,"52,9411764705882",impar
613,1,1,1,1,1,4,1,4,0,2,4,1,1,1,2,1,1,"39,7058823529412",impar
616,1,3,1,1,1,4,1,4,4,2,4,1,1,1,2,1,1,"48,5294117647059",impar
618,1,3,1,3,4,4,1,4,4,2,4,3,2,1,2,1,1,"60,2941176470588",impar
620,2,2,1,3,2,4,1,4,4,2,4,3,3,1,2,1,1,"58,8235294117647",impar
621,1,3,1,3,4,4,4,4,4,2,1,3,3,1,2,1,1,"61,7647058823529",impar
622,1,4,1,1,4,4,1,4,4,2,4,3,3,1,2,1,1,"60,2941176470588",impar
624,2,3,1,3,1,4,1,4,4,2,4,3,2,1,2,1,1,"57,3529411764706",impar
627,2,2,1,3,4,4,1,4,4,2,4,1,3,1,2,2,1,"60,2941176470588",impar
632,1,2,1,3,2,4,4,4,4,2,4,3,2,1,2,1,1,"60,2941176470588",impar
633,2,3,1,4,2,2,4,4,4,2,4,3,3,1,2,1,1,"63,2352941176471",impar
638,1,4,1,1,4,4,1,4,4,2,4,3,2,1,2,1,1,"58,8235294117647",impar
640,1,1,1,1,1,4,1,4,0,2,4,1,2,1,2,1,1,"41,1764705882353",impar
643,1,4,1,1,1,1,1,4,4,2,4,3,3,1,2,2,1,"52,9411764705882",impar
644,1,3,4,4,4,4,4,4,4,2,4,4,3,1,2,1,1,"73,5294117647059",impar
645,1,4,1,1,4,4,4,4,4,2,4,3,3,1,2,2,1,"66,1764705882353",impar
646,1,2,1,3,4,4,1,4,4,2,4,1,3,1,2,1,1,"57,3529411764706",impar
647,1,1,1,3,2,4,4,4,0,2,4,1,2,1,2,1,1,50,impar
648,1,3,1,1,1,4,4,4,0,2,4,3,1,1,2,1,1,50,impar
649,1,2,1,1,2,4,4,4,4,2,1,3,2,1,2,1,1,"52,9411764705882",impar
650,1,4,1,3,2,4,4,4,4,2,4,3,3,1,2,1,1,"64,7058823529412",impar
652,1,2,1,4,4,4,1,4,4,2,4,1,3,1,2,1,1,"58,8235294117647",impar
653,1,3,1,1,4,4,4,4,0,2,4,4,2,1,3,4,1,"63,2352941176471",impar
654,1,3,1,1,4,4,1,4,0,2,4,3,1,1,2,1,1,50,impar
655,1,3,1,4,2,4,4,4,4,2,4,4,4,1,2,1,1,"67,6470588235294",impar
657,1,4,1,1,4,4,1,4,4,2,4,3,3,1,2,1,1,"60,2941176470588",impar
658,1,2,1,1,2,4,4,4,0,2,4,3,2,1,2,1,1,"51,4705882352941",impar
660,1,4,1,1,4,4,1,4,4,2,4,4,2,1,2,3,1,"63,2352941176471",impar
663,4,2,1,1,1,4,4,4,0,2,4,4,2,1,2,1,1,"55,8823529411765",impar
664,2,3,1,1,1,4,4,4,4,2,4,1,3,1,2,1,1,"57,3529411764706",impar
668,2,2,1,3,4,4,1,4,4,2,4,3,3,1,2,2,1,"63,2352941176471",impar
669,1,3,1,4,2,4,4,4,4,2,4,3,3,1,2,1,1,"64,7058823529412",impar
670,1,3,1,1,4,4,1,4,4,2,4,3,3,1,2,1,1,"58,8235294117647",impar
671,1,4,1,1,2,4,4,4,4,2,4,4,3,1,2,1,1,"63,2352941176471",impar
672,1,4,1,3,4,4,4,4,4,2,1,3,2,1,2,2,1,"63,2352941176471",impar
673,1,4,1,3,2,4,4,4,4,2,4,1,2,1,2,1,1,"60,2941176470588",impar
674,1,3,4,1,4,4,4,4,4,2,4,3,3,1,3,2,1,"70,5882352941177",impar
